uid,school,gender,grade,age,like_games,games_2a,games_2b,games_2c,games_2d,games_2e,games_2f,games_2g,prof_3a,prof_3b,prof_3c,prof_3d,prof_3e,prof_3f,prof_3g,serving_guests,financial_decisions,chores_6a,chores_6b,chores_6c,chores_6d,chores_6e,chores_6f,chores_6g,social_7a,social_7b,social_7c,social_7d,social_7e,social_7f,social_7g,legal_marriage_age,freedom_9a,freedom_9b,freedom_9c,freedom_9d,freedom_9e,freedom_9f,cons_10a,cons_10b,cons_10c,cons_10d,cons_10e,cons_10f,cons_10g,early_pregnancy,child_helpline,aspirations
DHVS26,,1,9,15,1,3,3,3,3,3,3,3,3,2,1,3,3,3,3,2,4,2,2,5,4,2,5,1,1,1,2,2,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,,5,1
DHVS27,,2,10,15,2,3,0,3,3,3,2,1,3,2,1,1,1,3,1,6,1,2,2,1,8,2,0,1,2,1,2,2,2,1,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1
DHVS28,,,9,15,2,3,0,3,3,3,2,1,3,2,1,1,1,3,1,6,1,2,2,1,1,2,1,1,2,1,2,2,2,1,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
DHVS29,,2,7,13,2,3,0,3,1,1,2,0,3,2,1,3,1,1,1,4,3,2,2,1,8,2,1,1,2,1,2,2,2,1,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
DHVS30,,,8,13,1,3,0,3,3,3,2,1,3,2,3,3,1,3,1,6,3,2,2,1,8,2,1,1,2,1,2,2,2,1,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
DHVS31,,2,8,13,1,3,0,3,3,3,2,1,3,2,1,1,1,3,1,4,3,2,2,1,8,2,1,1,2,1,2,2,2,1,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
DHVS32,,1,7,12,1,3,0,3,3,3,2,2,3,2,1,1,1,3,1,4,3,2,2,1,8,2,1,8,2,1,2,2,2,1,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
DHVS33,"MAHARUDRA MOTHE VIDYALAYA, PARDI",1,9,14,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,1,2,2,1,1,2,1,8,3,3,3,1,2,1,2,4,1,1,1,0,1,1,1,0,1,0,1,0,0,1,,
DHVS34,,2,10,16,1,3,3,3,3,1,3,2,3,2,1,2,2,3,3,4,3,6,6,1,8,6,8,1,2,3,0,3,2,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DHVS35,,1,9,15,1,3,3,3,3,3,3,3,1,2,1,1,1,2,1,6,1,2,2,1,1,2,1,1,3,2,1,3,0,3,1,4,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1
DHVS36,,2,8,13,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,6,3,4,7,4,4,7,8,8,3,3,1,2,3,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DHVS37,,2,9,15,1,3,0,1,1,1,2,0,3,2,1,1,0,2,1,1,1,2,2,1,1,2,1,1,2,0,1,2,0,1,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
DHVS38,,2,10,16,1,3,0,1,1,3,2,0,0,0,0,0,0,0,0,1,3,2,2,1,1,8,1,1,2,1,2,0,1,1,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
DHVS39,,2,8,13,1,3,0,1,1,3,2,0,3,2,1,1,1,2,1,4,1,2,2,1,1,2,1,1,2,1,0,2,0,1,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
DHVS40,,1,8,13,1,3,0,2,1,3,2,0,3,2,1,1,2,1,1,1,3,2,2,1,8,2,1,1,2,0,1,0,3,1,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
DHVS41,"KAMLESHWARI VIDYALAYA, PIMPALGAON(KAMLESHWARI)",1,8,13,1,1,0,0,1,3,1,0,3,2,3,3,2,3,1,2,1,2,0,1,1,2,0,0,2,1,2,2,2,1,2,4,1,1,1,0,0,0,1,1,1,1,1,1,0,,1,
DHVS42,,2,10,16,1,3,3,0,3,0,1,2,1,2,1,2,3,1,3,4,3,2,2,1,1,3,1,1,0,1,0,0,0,1,2,4,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1
DHVS43,,2,10,16,1,3,0,1,3,3,2,0,3,2,3,3,2,3,1,8,1,6,6,1,1,6,1,1,2,1,2,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
DHVS44,,2,9,15,1,3,0,3,3,3,2,0,3,2,3,3,2,3,1,4,1,6,6,1,1,6,1,1,2,1,2,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
DHVS45,,2,8,14,1,3,0,3,3,3,2,0,3,2,3,3,2,3,1,4,3,6,6,1,1,6,1,1,2,1,2,2,2,1,2,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1
DHVS46,,2,10,16,1,3,0,3,3,3,2,0,3,2,3,3,2,3,0,4,3,6,6,1,1,6,1,0,2,1,2,2,2,1,2,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
DHVS47,,2,9,15,1,3,0,3,3,3,1,2,3,2,2,1,3,1,1,4,3,6,6,1,1,6,1,1,2,1,0,2,0,1,2,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1
DHVS48,,1,9,15,1,3,0,3,1,3,3,0,3,2,2,1,1,3,1,4,3,6,6,1,1,6,1,1,2,1,2,2,2,1,2,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1
DHVS49,"NEW HIGHSCHOOL, KADAKNATHWADI",1,9,14,1,3,2,3,1,3,3,0,3,3,2,3,3,3,3,6,1,2,2,8,6,1,2,1,3,3,3,3,3,3,3,4,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
DHVS50,,1,10,16,1,3,2,3,1,1,2,3,3,2,3,3,3,3,1,2,1,2,2,5,8,2,0,5,3,3,3,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DHVS51,,2,10,15,1,3,2,3,3,3,3,3,3,3,1,3,3,3,3,4,3,6,2,1,5,4,8,8,3,3,0,3,0,2,0,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
DHVS52,,2,10,15,1,3,2,3,3,3,3,0,3,2,3,3,3,3,1,4,4,6,6,8,1,4,1,5,3,1,2,1,0,3,0,4,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1
DHVS53,,2,10,15,1,3,0,3,3,3,2,1,3,2,1,1,2,3,1,4,3,6,6,1,1,6,1,0,2,1,2,2,2,3,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,,
DHVS54,,2,9,14,1,3,0,3,3,3,2,1,3,2,1,1,2,1,1,6,3,6,6,1,1,6,1,0,2,1,2,2,2,1,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
DHVS55,,2,8,13,2,3,0,3,3,3,2,0,3,2,1,1,1,3,1,6,3,7,6,8,8,8,1,2,2,1,2,2,2,1,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1
DHVS56,,2,8,13,1,3,0,1,3,3,2,0,3,2,1,1,1,3,1,6,3,7,2,8,8,7,1,0,0,1,2,2,2,1,2,4,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1
DHVS57,"VIDYAVIKAS VIDYALAYA, IZORA",2,9,15,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,7,2,7,7,4,2,7,2,8,2,2,1,1,3,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DHVS58,,1,7,14,1,1,2,1,1,1,2,1,1,1,3,2,3,3,2,4,4,7,7,5,4,4,8,8,1,1,2,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DHVS59,,1,9,15,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,1,2,2,1,1,2,1,8,3,3,3,1,2,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DHVS60,,2,10,15,1,3,0,2,3,3,3,0,3,3,3,3,2,3,1,4,1,6,6,1,1,6,1,1,2,1,2,2,2,3,2,2,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
DHVS61,,2,9,14,1,3,0,3,3,3,3,0,3,3,3,3,2,3,1,6,3,6,6,1,1,6,1,1,2,1,2,2,2,1,2,4,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
DHVS62,,2,8,13,1,3,0,3,3,3,2,0,3,2,3,3,2,3,1,4,4,6,6,1,1,6,1,1,2,1,2,2,2,1,2,4,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
DHVS63,,2,8,13,1,3,2,3,3,3,3,3,3,2,3,3,3,3,3,4,4,6,6,7,4,4,8,8,1,1,2,2,1,2,2,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,5,1
DHVS64,,2,7,13,1,3,0,3,3,3,2,1,3,2,1,3,3,3,3,6,3,2,2,1,8,2,8,8,2,1,2,1,2,2,2,4,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1
DHBM01,"AMBIKA VIDYALAYA,AMBI",2,10,16,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,8,4,3,3,3,3,3,3,3,4,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1
DHBM02,,1,10,16,1,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,4,2,2,1,1,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
DHBM03,,2,10,16,1,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,4,7,4,4,8,4,8,8,3,1,2,2,3,2,2,4,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
DHBM04,,1,10,16,2,3,0,3,3,3,3,1,3,2,1,0,1,3,1,6,3,2,2,1,8,6,1,2,2,1,2,2,2,1,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
DHBM05,,2,8,14,2,3,0,3,3,3,2,1,3,2,1,0,1,3,1,4,3,6,6,1,8,6,1,8,2,1,2,2,2,1,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
DHBM06,,2,9,15,0,3,2,1,3,3,3,3,3,3,1,3,2,3,1,4,4,2,2,5,4,2,1,8,2,1,2,2,2,3,2,4,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1
DHBM07,,2,7,14,2,3,1,3,3,3,3,0,3,2,1,1,2,3,1,6,3,2,2,1,8,2,1,1,2,1,2,2,2,1,2,4,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
DHBM08,,2,8,14,2,3,0,3,3,3,3,1,3,2,1,1,1,2,1,4,3,8,6,1,6,0,0,0,2,1,2,2,2,1,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
DHBM09,"ANTARGAON HIGHSCHOOL,ANTARGAON",2,9,14,1,3,2,3,1,3,1,1,3,2,3,3,3,3,3,2,1,4,6,7,5,7,4,4,2,1,2,2,1,2,2,4,1,1,1,0,1,1,1,0,1,1,1,0,0,2,1,2
DHBM10,,2,9,14,1,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
DHBM11,,2,8,14,0,3,2,1,3,3,3,3,3,3,1,3,2,3,1,4,4,2,2,5,4,2,1,8,2,1,2,2,3,3,2,4,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1
DHBM12,,2,8,13,1,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1
DHBM13,"BANGANGA HIGHSCHOOL,BHOOM",2,10,16,1,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1
DHBM14,,2,10,16,1,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1
DHBM15,,2,9,14,1,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
DHBM16,,2,9,14,1,3,2,3,3,3,2,3,1,2,1,3,3,1,3,4,3,2,2,1,1,6,8,8,2,1,2,2,1,2,3,4,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1
DHBM17,"BHAURAO KATE HIGHSCHOOL,PATHRUD",2,10,16,1,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
DHBM18,,2,10,16,1,3,2,3,3,3,3,3,1,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
DHBM19,,2,9,14,1,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
DHBM20,,1,0,0,0,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
DHBM21,"CHATRAPATI HIGHSCHOOL,SUKTA",2,8,14,0,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,1,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHBM22,,2,8,14,1,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
DHBM23,,2,9,15,0,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
DHBM24,,2,8,14,0,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
DHBM25,"LOKMANYA VIDYALAYA,MANKESHWAR",2,10,16,0,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1
DHBM26,,2,10,16,1,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
DHBM27,,2,8,14,1,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
DHBM28,,1,8,14,1,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,8,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
DHBM29,"SHRI GURUDEV DATTA HIGHSCHOOL,BHOOM",2,8,14,0,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1
DHBM30,,2,9,15,1,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,1,7,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
DHBM31,,2,8,14,1,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
DHBM32,,2,7,13,1,3,2,3,3,3,2,3,1,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,1,2,2,1,2,2,4,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
DHBM33,"BHAGWANT VIDYALAYA,HADONGRI",2,10,16,1,3,2,1,1,3,3,2,3,2,1,2,3,3,1,2,3,6,6,1,1,6,8,8,2,1,2,2,1,1,2,4,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1
DHBM34,,2,9,15,0,3,2,3,3,3,3,3,3,2,1,1,2,3,1,2,3,2,2,1,1,3,8,1,2,1,2,2,2,1,2,4,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1
