uid,school,gender,grade,age,like_games,games_2a,games_2b,games_2c,games_2d,games_2e,games_2f,games_2g,prof_3a,prof_3b,prof_3c,prof_3d,prof_3e,prof_3f,prof_3g,serving_guests,financial_decisions,chores_6a,chores_6b,chores_6c,chores_6d,chores_6e,chores_6f,chores_6g,social_7a,social_7b,social_7c,social_7d,social_7e,social_7f,social_7g,legal_marriage_age,freedom_9a,freedom_9b,freedom_9c,freedom_9d,freedom_9e,freedom_9f,cons_10a,cons_10b,cons_10c,cons_10d,cons_10e,cons_10f,cons_10g,early_pregnancy,child_helpline,aspirations
NKNDR64,JANATA MADHYAMIK VIDYALAY HISAWAL,2,7,14,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,4,4,7,2,1,7,7,8,8,3,3,3,3,3,3,3,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCKDR01,JANATA VIDYALAY WADNER BHAIRAV,2,6,11,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,1,2,6,1,1,3,3,2,1,3,3,2,4,1,1,1,0,0,1,1,1,1,1,1,1,0,2,1,1
NCKDR02,JANATA VIDYALAY WADNER BHAIRAV,2,8,13,1,1,2,3,3,3,3,3,3,2,3,3,3,3,3,2,1,1,1,1,1,1,1,8,2,1,2,1,1,2,2,4,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1
NCKDR03,JANATA VIDYALAY WADNER BHAIRAV,1,9,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,8,7,8,8,7,7,8,3,3,3,3,3,3,3,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
NCKDR04,JANATA VIDYALAY WADNER BHAIRAV,2,6,12,1,3,0,0,3,0,3,3,3,2,1,3,3,3,3,4,1,6,2,1,8,6,1,8,2,1,2,2,2,3,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1
NCKDR05,JANATA VIDYALAY WADNER BHAIRAV,1,6,12,1,3,3,3,0,1,0,0,0,0,0,0,0,0,0,4,3,2,2,1,2,4,1,1,3,1,0,0,0,3,0,4,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1
NCKDR06,JANATA VIDYALAY WADNER BHAIRAV,2,6,13,1,3,3,3,3,3,3,3,3,3,1,3,1,3,3,4,4,6,6,8,7,6,8,7,2,1,2,3,3,3,2,4,1,1,1,0,0,1,1,0,1,1,1,1,0,1,7,1
NCKDR07,JANATA VIDYALAY WADNER BHAIRAV,2,6,11,1,3,3,3,3,3,3,3,3,3,1,3,1,3,3,4,3,6,6,7,7,7,8,8,2,1,2,3,3,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1
NCKDR08,JANATA VIDYALAY WADNER BHAIRAV,2,6,11,1,3,3,3,3,3,3,3,3,2,1,3,1,3,3,4,3,6,6,1,7,6,8,8,2,1,3,3,2,2,2,4,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1
NCKDR09,K.K.WAGH HIGHSCHOOL DHONDAMBE,2,6,11,1,1,0,1,0,1,0,0,1,2,1,1,1,1,2,3,2,5,2,2,5,2,1,1,3,1,2,3,1,1,2,4,1,1,1,0,1,1,1,0,0,0,0,0,0,1,7,1
NCKDR010,K.K.WAGH HIGHSCHOOL DHONDAMBE,1,6,11,1,1,3,3,3,3,1,3,2,2,1,2,1,1,1,4,1,2,2,1,1,3,1,1,1,1,3,3,1,1,1,4,1,1,1,0,1,1,1,1,1,1,1,1,1,2,7,1
NCKDR11,K.K.WAGH HIGHSCHOOL DHONDAMBE,1,6,11,1,1,3,3,3,3,3,1,2,2,1,1,1,1,1,4,1,6,2,1,8,8,1,1,2,1,2,2,1,2,1,4,1,1,1,0,0,0,1,1,1,1,1,1,1,2,7,1
NCKDR12,K.K.WAGH HIGHSCHOOL DHONDAMBE,2,6,11,1,3,1,3,3,1,1,1,3,3,3,3,2,3,1,6,3,6,2,7,2,2,8,7,3,3,3,3,3,3,3,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
NCKDR13,K.K.WAGH HIGHSCHOOL DHONDAMBE,1,6,11,2,3,3,3,1,3,3,1,2,3,3,3,3,3,3,2,1,2,2,1,2,8,0,1,1,1,2,2,2,1,2,4,1,1,1,0,0,0,1,1,1,1,1,1,1,1,7,1
NCKDR14,K.K.WAGH HIGHSCHOOL DHONDAMBE,2,6,11,0,3,3,3,1,3,3,1,3,2,3,3,3,3,3,1,4,2,2,1,1,2,1,1,1,2,2,2,2,1,2,4,1,0,0,0,0,0,1,1,1,1,1,1,1,1,7,1
NCKDR15,K.K.WAGH HIGHSCHOOL DHONDAMBE,1,6,11,1,3,3,3,1,1,3,3,1,2,1,1,1,3,3,1,2,2,2,1,3,2,2,1,3,1,2,3,3,1,2,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,7,1
NCKDR16,K.K.WAGH HIGHSCHOOL DHONDAMBE,1,6,11,1,3,3,1,1,1,3,3,0,0,1,0,0,0,0,2,1,2,2,5,7,6,1,8,3,1,3,3,2,1,2,4,1,1,1,0,0,1,1,1,1,1,1,1,1,7,1,1
NCKDR17,JANATA VIDYALAY NIMON,1,3,2,3,3,3,3,1,3,2,1,1,3,3,3,4,3,3,3,3,2,1,5,6,8,1,1,1,2,2,2,3,2,2,4,1,1,1,0,1,1,1,0,1,1,1,0,1,1,4,1
NCKDR18,JANATA VIDYALAY NIMON,1,6,12,1,0,0,0,0,0,0,3,3,3,1,3,3,3,1,4,3,2,2,5,8,7,8,1,1,1,2,3,3,3,2,4,1,0,1,0,1,1,1,1,1,1,1,1,0,1,4,1
NCKDR19,JANATA VIDYALAY NIMON,1,6,13,0,3,3,3,1,1,2,1,3,2,3,1,1,1,3,3,4,3,2,2,1,5,2,8,1,3,1,2,3,1,3,2,4,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1
NCKDR20,JANATA VIDYALAY NIMON,1,6,12,1,3,3,3,1,3,3,3,3,2,3,1,3,3,3,4,3,2,2,5,1,2,8,8,3,1,2,1,3,2,2,4,1,1,1,0,1,1,1,1,1,1,1,1,0,1,4,1
NCKDR21,JANATA VIDYALAY NIMON,1,6,12,1,3,3,3,1,3,3,3,3,2,1,3,1,3,3,1,2,2,1,2,2,1,1,1,1,3,2,2,3,2,2,4,1,1,1,0,0,1,1,1,0,1,1,0,0,1,7,1
NCKDR22,JANATA VIDYALAY NIMON,2,6,12,1,3,2,3,3,3,3,1,3,2,1,1,3,3,3,4,3,6,2,1,8,6,8,1,1,1,0,2,3,2,2,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,7,1
NCKDR23,JANATA VIDYALAY NIMON,1,6,12,1,3,3,3,0,1,0,0,3,3,3,3,3,3,3,2,3,2,2,1,2,3,1,1,3,1,0,0,0,3,0,4,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1
NCKDR24,JANATA VIDYALAY NIMON,2,6,12,0,3,3,1,1,3,3,1,3,1,3,3,2,3,3,4,3,6,6,1,1,6,1,1,3,1,2,2,3,1,2,4,1,1,1,0,0,1,1,0,1,1,1,0,0,1,4,1
