uid,school,gender,grade,age,like_games,games_2a,games_2b,games_2c,games_2d,games_2e,games_2f,games_2g,prof_3a,prof_3b,prof_3c,prof_3d,prof_3e,prof_3f,prof_3g,serving_guests,financial_decisions,chores_6a,chores_6b,chores_6c,chores_6d,chores_6e,chores_6f,chores_6g,social_7a,social_7b,social_7c,social_7d,social_7e,social_7f,social_7g,legal_marriage_age,freedom_9a,freedom_9b,freedom_9c,freedom_9d,freedom_9e,freedom_9f,cons_10a,cons_10b,cons_10c,cons_10d,cons_10e,cons_10f,cons_10g,early_pregnancy,child_helpline,aspirations
JGENR23,K N MANTRI HIGHSCH. KASODA,2,10,15,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,6,6,1,6,6,1,8,3,3,3,3,3,3,2,4,1,1,1,1,1,1,1,1,1,0,1,0,0,1,,1
JGENR24,K N MANTRI HIGHSCH. KASODA,2,10,16,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,6,6,4,4,4,8,4,3,3,3,0,3,3,2,4,1,1,1,0,1,1,1,1,1,1,1,1,0,1,,1
JGENR25,MAHENDRASING PATIL SCE.SCH. KHADKE SIM,2,0,12,1,3,3,3,1,3,3,1,3,2,1,3,3,3,1,4,3,6,6,1,2,6,8,1,2,1,2,1,3,2,2,4,1,0,0,0,0,0,0,0,1,1,1,0,0,1,3,1
JGENR26,MAHENDRASING PATIL SCE.SCH. KHADKE SIM,1,7,13,1,3,2,3,3,3,3,1,3,2,3,3,3,3,3,2,3,2,2,6,1,2,1,8,2,1,2,1,3,3,2,4,1,1,0,0,0,0,0,0,1,0,1,0,0,1,5,1
JGENR27,MAHENDRASING PATIL SCE.SCH. KHADKE SIM,2,8,0,1,3,2,3,1,3,3,3,3,2,3,3,3,3,3,4,3,6,6,1,8,6,8,8,2,1,2,1,3,2,2,4,1,1,1,0,0,1,1,0,1,1,1,0,1,1,2,1
JGENR28,MAHENDRASING PATIL SCE.SCH. KHADKE SIM,1,9,15,1,3,2,3,3,3,3,1,3,2,3,3,3,3,3,6,3,2,2,1,1,2,1,1,2,1,0,2,3,3,2,4,1,0,0,0,0,1,1,0,0,0,1,0,0,1,5,1
JGENR29,MAHENDRASING PATIL SCE.SCH. KHADKE SIM,1,8,13,1,3,2,3,3,3,3,1,3,2,3,3,3,3,3,2,3,2,2,5,5,2,1,1,2,1,0,3,0,3,2,4,1,1,1,0,0,1,0,1,0,1,0,0,0,1,5,1
JGENR30,MAHENDRASING PATIL SCE.SCH. KHADKE SIM,1,9,15,1,3,2,3,3,3,3,1,3,2,3,3,3,3,3,2,4,2,2,5,8,2,1,1,2,1,0,2,3,3,2,4,1,1,1,1,1,1,1,1,0,0,0,0,0,1,5,1
JGENR31,MAHENDRASING PATIL SCE.SCH. KHADKE SIM,2,9,14,1,3,2,3,3,3,3,1,3,2,1,3,3,3,3,4,3,2,2,1,1,6,8,8,2,3,2,2,3,3,2,4,1,1,0,0,0,0,1,1,0,1,1,0,0,1,5,1
JGENR32,MAHENDRASING PATIL SCE.SCH. KHADKE SIM,2,10,15,1,3,2,3,1,3,3,1,3,2,1,3,3,3,3,4,3,2,2,1,1,2,8,1,2,3,2,2,3,3,2,4,1,1,1,0,0,0,1,1,0,1,1,0,0,1,5,1
JGENR33,SEC. HIGHSCH. NIPANE,2,7,12,1,3,2,3,3,3,2,1,3,2,3,3,3,3,1,2,1,6,7,8,5,6,1,1,3,1,2,2,3,3,2,4,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1
JGENR34,SEC. HIGHSCH. NIPANE,1,7,12,1,1,2,1,1,1,2,1,3,3,3,2,1,3,3,4,4,4,7,8,1,8,1,8,3,3,3,1,2,1,3,4,1,1,1,0,1,1,1,1,1,1,1,1,0,2,1,1
JGENR35,SEC. HIGHSCH. NIPANE,2,8,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,4,1,6,4,4,3,1,0,3,3,1,2,4,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1
JGENR36,SEC. HIGHSCH. NIPANE,1,8,14,1,3,2,3,1,3,3,1,1,2,1,1,1,3,1,4,3,2,2,1,5,6,8,5,3,1,2,1,3,3,2,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4,2
JGENR37,SEC. HIGHSCH. NIPANE,1,9,15,1,3,2,3,1,1,3,1,3,1,3,3,3,3,3,2,3,2,2,1,4,4,1,8,3,1,2,2,2,3,2,4,1,1,1,0,0,1,1,1,1,1,1,0,0,1,3,2
JGENR38,SEC. HIGHSCH. NIPANE,2,9,15,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,6,6,4,4,4,4,4,1,1,2,2,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
JGENR39,SEC. HIGHSCH. NIPANE,1,10,15,1,1,0,1,1,1,0,1,3,2,2,3,2,3,1,2,3,2,2,5,4,7,1,4,3,3,0,2,1,2,2,4,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1
JGENR40,SEC. HIGHSCH. NIPANE,2,10,16,1,3,2,3,3,3,3,1,3,3,3,3,3,3,3,2,4,6,2,1,1,6,1,8,1,1,2,2,3,3,2,4,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1
JGENR41,NAVALBHAU M.V.TADE,2,7,13,1,3,0,3,3,3,3,3,1,0,3,0,0,3,3,7,3,6,6,1,1,6,8,8,0,1,3,1,3,3,2,4,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1
JGENR42,NAVALBHAU M.V.TADE,2,10,16,1,3,3,3,3,3,3,3,3,2,1,3,3,3,3,2,3,6,7,1,8,7,8,8,3,1,2,2,1,3,2,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,2,1
JGENR43,NAVALBHAU M.V.TADE,2,8,15,1,3,0,3,3,3,3,3,3,3,3,0,3,3,3,7,3,6,6,1,7,0,8,8,0,1,3,1,3,3,2,4,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
JGENR44,NAVALBHAU M.V.TADE,2,9,15,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,1,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1
JGENR45,NAVALBHAU M.V.TADE,1,9,15,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,4,2,2,1,4,1,1,8,3,1,2,3,1,3,2,4,1,1,1,0,0,1,1,1,1,1,1,1,1,2,3,1
JGENR46,NAVALBHAU M.V.TADE,1,10,16,1,3,0,3,3,3,3,3,3,2,1,1,3,2,1,4,3,2,2,1,2,2,1,1,3,1,2,0,0,0,0,4,1,0,1,0,1,1,1,0,1,1,1,0,0,1,5,1
JGENR47,NAVALBHAU M.V.TADE,1,7,14,1,3,3,3,1,1,1,0,0,0,3,0,0,0,0,2,4,2,2,1,0,6,0,1,1,1,0,0,0,0,0,4,1,1,1,0,0,0,,,,,,,,,1,
JGENR48,NAVALBHAU M.V.TADE,1,8,15,0,3,0,3,3,3,3,0,3,2,1,1,1,2,1,4,3,8,8,0,2,2,1,0,3,1,2,0,0,0,0,4,1,0,1,0,1,1,1,0,1,1,1,0,0,1,5,1
JGENR49,NEW ENGLISH SCH. KADHOLI,2,8,14,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,6,4,7,4,4,8,8,1,3,0,0,3,3,0,4,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1
JGENR50,NEW ENGLISH SCH. KADHOLI,1,7,12,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,1,3,2,1,1,3,3,3,3,3,3,3,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
JGENR51,NEW ENGLISH SCH. KADHOLI,2,7,0,1,0,0,0,0,0,2,0,3,3,3,3,3,3,3,2,3,2,2,1,1,4,0,8,3,1,2,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JGENR52,NEW ENGLISH SCH. KADHOLI,1,10,15,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,7,8,4,4,8,7,1,1,2,2,1,1,2,4,1,1,1,0,1,0,1,0,1,1,1,0,0,1,3,1
JGENR53,NEW ENGLISH SCH. KADHOLI,1,8,14,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,1,7,7,4,4,4,8,4,3,1,2,2,1,1,2,4,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1
JGENR54,NEW ENGLISH SCH. KADHOLI,1,8,14,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,4,3,2,1,8,6,1,1,3,1,2,2,3,1,2,4,1,1,1,0,1,0,,,,,,,,,,
JGENR55,NEW ENGLISH SCH. KADHOLI,1,10,15,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,4,3,2,1,8,6,8,1,3,1,2,1,3,1,2,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
JGENR56,NEW ENGLISH SCH. KADHOLI,2,8,14,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,6,6,7,4,4,8,8,1,3,0,0,3,3,0,4,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1
JGYWR01,F.R.PATIL SEC. SCH. MOHARALA,1,9,14,1,3,2,1,3,1,3,3,3,2,1,1,3,3,3,1,3,6,6,8,4,4,4,8,3,3,3,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1
JGYWR02,F.R.PATIL SEC. SCH. MOHARALA,1,10,16,1,2,2,0,3,1,1,3,3,2,1,3,3,3,3,2,2,2,2,7,8,2,8,4,3,3,3,3,3,3,3,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
JGYWR03,F.R.PATIL SEC. SCH. MOHARALA,1,9,15,1,1,1,3,3,3,3,3,3,2,1,3,3,3,3,2,1,2,2,5,8,2,8,4,3,1,0,3,0,3,0,4,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
JGYWR04,F.R.PATIL SEC. SCH. MOHARALA,1,10,16,1,3,3,3,3,3,3,2,3,2,1,1,2,3,1,1,1,2,2,1,1,2,1,1,3,3,3,3,3,3,3,4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
JGYWR05,F.R.PATIL SEC. SCH. MOHARALA,2,8,14,1,3,3,3,1,1,2,2,3,2,3,3,3,3,3,1,3,7,6,8,8,8,8,8,3,3,3,3,3,3,2,4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,5,1
